Freq (kHz),Vo/Field (mV/mT),Field/Vo (mT/mV)
0.03,13600.000000000002,7.38e-05
0.05,22900.0,4.37e-05
0.1,46400.0,2.16e-05
0.2,94000.0,1.06e-05
0.4,193299.99999999997,5.199999999999999e-06
0.6,305500.0,3.3e-06
0.8,441200.0,2.3e-06
1.2,860600.0,1.2e-06
1.6,1955700.0,5e-07
1.8,3811900.0,3e-07
2.0,13843400.0,1e-07
2.2,5543200.000000001,2e-07
2.4,2792200.0000000005,4e-07
2.6,1896800.0,5e-07
3.0,1184100.0,8e-07
5.0,467900.0,2.1000000000000002e-06
10.0,207900.0,4.8e-06
20.0,113200.0,8.799999999999999e-06
30.0,147700.0,6.8e-06
40.0,7200.0,0.0001393
50.0,6400.0,0.0001566
